A1,
AZ30,__,AZ31,__,__,__,__,AZ333,AZ333,AZ333
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,AZ34,__,__,__
__,__,AZ37,AZ37,AZ38,__,AZ39,__,__,__
__,__,__,__,AZ43,AZ43,__,__,AZ45,AZ45
AZ46,AZ46,__,__,AZ48,AZ48,AZ49,AZ49,__,__


B2,
AZ51,AZ51,__,__,__,__,AZ54,__,AZ55,AZ55
AZ56,__,AZ57,AZ57,AZ58,AZ58,__,__,AZ60,AZ60
AZ61,AZ61,AZ62,AZ62,AZ63,AZ63,__,__,AZ65,AZ65
__,__,AZ67,AZ67,__,__,__,__,__,__
__,__,__,__,__,__,AZ74,AZ74,__,__
__,__,__,__,__,__,AZ79,AZ79,__,__
__,__,AZ82,AZ82,AZ83,AZ83,__,__,AZ85,AZ85
AZ86,__,__,__,AZ88,AZ88,AZ89,AZ89,AZ90,__
__,__,__,__,AZ93,AZ93,__,__,AZ95,AZ95
__,__,AZ97,AZ97,__,__,__,__,__,__


B3,
__,__,__,__,__,__,AZ104,AZ104,AZ105,__
AZ106,__,AZ107,__,__,__,AZ109,AZ109,__,__
__,__,__,__,AZ113,AZ113,__,__,AZ115,AZ115
__,__,__,__,__,__,AZ119,AZ119,AZ120,AZ120
AZ121,AZ121,AZ122,AZ122,AZ123,AZ123,AZ124,AZ124,AZ125,AZ125
AZ126,AZ126,AZ127,AZ127,AZ128,AZ128,AZ129,AZ129,AZ130,AZ130
AZ131,AZ131,AZ132,AZ132,AZ133,AZ133,AZ134,AZ134,AZ135,AZ135
AZ136,__,AZ137,__,AZ138,__,AZ139,AZ139,AZ140,__
AZ141,__,__,__,AZ143,AZ143,AZ144,__,__,__
AZ146,__,AZ147,AZ147,AZ148,__,AZ149,AZ149,AZ150,__


B4,
__,__,__,__,__,__,AZ154,AZ154,AZ155,AZ155
AZ156,AZ156,AZ157,AZ157,AZ158,AZ158,AZ159,__,AZ160,AZ160
__,__,AZ162,AZ162,AZ163,__,AZ164,AZ164,AZ165,AZ165
AZ166,AZ166,AZ167,AZ167,AZ168,AZ168,AZ169,AZ169,AZ170,AZ170
AZ171,AZ171,AZ172,AZ172,AZ173,__,AZ174,AZ174,AZ175,__
AZ176,AZ176,AZ177,AZ177,AZ178,AZ178,AZ179,AZ179,AZ180,__
AZ181,AZ181,AZ182,AZ182,AZ183,AZ183,AZ184,AZ184,AZ185,AZ185
AZ186,AZ186,AZ187,AZ187,AZ188,AZ188,AZ189,AZ189,AZ190,AZ190
__,__,__,__,AZ193,AZ193,__,__,__,__
__,__,__,__,__,__,__,__,AZ200,AZ200


1-1,
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,__,__,__,__
__,__,__,__,__,__,AZ34,__,__,__
