name,azNumber,origin,made by,isThawed
gpa-6::GCaMP-3,113,2,Alon,True
Combo-14,114,2,Alon,False
PY7502,115,1,,False
unc-31(e928); pha-1(e2123ts) Ex[fut-1::GCaMP-3; pha-1],116,2,Alon,False
Combo-15,117,2,Alon,False
"unc-13(S69),gcy-5::GCaMP3 Ex[gcy-5::GCaMP-3; pha-1]",118,2,Alon,False
str-2::RCaMP,119,0,Yifat,True
gpa-4::ChR2 x str-2::G3,120,0,Yifat,True
Pha-1(e2123ts) ; him-5; lite-1(ce314) ,121,0,Moria,False
Sra-6::GCaMP6m,122,0,Yifat,True
wdr-5.1 (ok1417),123,1,,True
daf-2(e1370),124,3,,False
hat-1(ok1265) ,125,1,,True
hcf-1 (pk924),126,1,,True
met-2 (n4256),127,1,,True
hda-2 (ok1479),128,1,,True
hlp-2 (tm1489),129,1,,True
hda-3 (ok1991),130,1,,True
hda-4 (ok518),131,1,,True
zfp-1 (ok554),132,1,,True
unc54::Abeta,133,3,,False
unc-54::polyQ35,134,3,,True
F2513.3;polyQ40,135,3,,True
dat-1 (ok157) ,136,1,,True
tph-1 (mg280) ,137,1,,True
eat-4 (ky-5) ,138,1,,True
tdc-1 (n3420) ,139,1,,True
cat-2(e1112) ,140,1,,True
bas-1 (ad446),141,1,,True
"gcy-5::G3,gpa-4::ChR2",142,0,Yifat,False
odr-10 CX32,143,1,,True
odr-10 CX3410,144,1,,True
hen-1 (tm501) ,145,1,,False
ttx-3 (mg158) ,146,1,,True
chd-7 (tm6183),147,3,,True
fkh-7 (tm6093) ,148,3,,True
 chd-7 (tm6139),149,3,,True
pha-1(e2123ts); him-5 (e1490),150,3,,True
nlg-1(ok259),154,1,,True
nrx-1(ds1),155,1,,True
daf-16p::DAF-16::GFP,156,3,,True
"str-2::RCaMP, gpa-6::GCaMP3",157,0,Idan,True
